,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
12,google-bert/bert-base-uncased,1,BCE,1,True,False,0.8947368421052632,0.8673469387755102,0.9239130434782609,0.849624060150376,0.9556655567622052,0.636374678475136,0.9919529936585687,0.632495164410058,28.0,7.0,13.0,85.0
13,google-bert/bert-base-uncased,2,BCE,1,True,False,0.9246231155778895,0.9387755102040817,0.9108910891089109,0.8863636363636364,0.9464919666941813,0.6953696342141009,0.9844726739141985,0.6940667490729295,25.0,9.0,6.0,92.0
14,google-bert/bert-base-uncased,3,BCE,1,True,False,0.9025641025641026,0.9072164948453608,0.8979591836734694,0.8560606060606061,0.9585338082545907,0.6273502416595172,0.992620121957912,0.6272294887039239,25.0,10.0,9.0,88.0
15,Ensemble,1,BCE,0,True,False,0.8704663212435233,0.8571428571428571,0.8842105263157894,0.8120300751879699,0.9518828410457612,0.529150262212918,0.9909239478100005,0.5283018867924528,24.0,11.0,14.0,84.0
16,Ensemble,2,BCE,0,True,False,0.9292929292929293,0.9387755102040817,0.92,0.8939393939393939,0.9498242142287789,0.717844077810787,0.9891526898928787,0.7172582619339045,26.0,8.0,6.0,92.0
17,Ensemble,3,BCE,0,True,False,0.914572864321608,0.9381443298969072,0.8921568627450981,0.8712121212121212,0.9745253966456339,0.6571210103001907,0.9956824869317673,0.6537037037037037,24.0,11.0,6.0,91.0
18,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,1,BCE,2,True,False,0.9047619047619048,0.9693877551020408,0.8482142857142857,0.849624060150376,0.9525484231518921,0.584091205586207,0.9915567327580762,0.5550351288056206,18.0,17.0,3.0,95.0
19,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,2,BCE,2,True,False,0.8585858585858586,0.8673469387755102,0.85,0.7878787878787878,0.9392595826608124,0.4348714123256474,0.9852034838927601,0.43451652386780903,19.0,15.0,13.0,85.0
20,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,3,BCE,2,True,False,0.8783068783068783,0.8556701030927835,0.9021739130434783,0.8257575757575758,0.9497861997643946,0.5748835807877167,0.9908814092875615,0.5723943661971831,26.0,9.0,14.0,83.0
21,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,1,BCE,2,True,False,0.8720379146919431,0.9387755102040817,0.8141592920353983,0.7969924812030075,0.9228290857940954,0.41735425777804336,0.9851809311852984,0.3928994082840237,14.0,21.0,6.0,92.0
22,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,2,BCE,2,True,False,0.8557692307692307,0.9081632653061225,0.8090909090909091,0.7727272727272727,0.8959822234265503,0.34089071942931687,0.979859377841369,0.32835820895522383,13.0,21.0,9.0,89.0
23,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,3,BCE,2,True,False,0.8508771929824561,1.0,0.7404580152671756,0.7424242424242424,0.8517964101407501,0.14545082775064525,0.9668825820684224,0.04143528406663821,1.0,34.0,0.0,97.0
24,FacebookAI/roberta-base,1,BCE,2,True,False,0.9223300970873787,0.9693877551020408,0.8796296296296297,0.8796992481203008,0.9002817908682484,0.673964029624366,0.9752345897514632,0.6584269662921349,22.0,13.0,3.0,95.0
25,FacebookAI/roberta-base,2,BCE,2,True,False,0.8704663212435233,0.8571428571428571,0.8842105263157894,0.8106060606060606,0.9500718470055382,0.5195371355773452,0.9911532102867957,0.5186697782963827,23.0,11.0,14.0,84.0
26,FacebookAI/roberta-base,3,BCE,2,True,False,0.8934010152284264,0.9072164948453608,0.88,0.8409090909090909,0.9306027837741646,0.5813004059889736,0.9858145478149929,0.5802543912780134,23.0,12.0,9.0,88.0
27,dmis-lab/biobert-v1.1,1,BCE,2,True,False,0.8506787330316742,0.9591836734693877,0.7642276422764228,0.7518796992481203,0.8934453562388476,0.21811141650911903,0.976880509191431,0.1695364238410597,6.0,29.0,4.0,94.0
28,dmis-lab/biobert-v1.1,2,BCE,2,True,False,0.8715596330275229,0.9693877551020408,0.7916666666666666,0.7878787878787878,0.9231246585831506,0.35609088767913627,0.9856591200795521,0.29680365296803657,9.0,25.0,3.0,95.0
29,dmis-lab/biobert-v1.1,3,BCE,2,True,False,0.8543689320388349,0.9072164948453608,0.8073394495412844,0.7727272727272727,0.9034042220411044,0.3575092246104653,0.9767857221488487,0.34502150181938473,14.0,21.0,9.0,88.0
30,google-bert/bert-base-uncased,1,BCE,2,True,False,0.9004739336492891,0.9693877551020408,0.8407079646017699,0.8421052631578947,0.9475944847922108,0.56066264749701,0.990302258994335,0.527810650887574,17.0,18.0,3.0,95.0
31,google-bert/bert-base-uncased,2,BCE,2,True,False,0.9015544041450777,0.8877551020408163,0.9157894736842105,0.8560606060606061,0.9670058197804561,0.6352495684730868,0.9942504179973202,0.6341890315052509,26.0,8.0,11.0,87.0
32,google-bert/bert-base-uncased,3,BCE,2,True,False,0.8911917098445595,0.8865979381443299,0.8958333333333334,0.8409090909090909,0.9613240512204475,0.5955571064636884,0.9932253887167214,0.5954465849387041,25.0,10.0,11.0,86.0
33,Ensemble,1,BCE,1,True,False,0.892018779342723,0.9693877551020408,0.8260869565217391,0.8270676691729323,0.9394523563731267,0.5122717640554154,0.9886544358523318,0.47158403869407495,15.0,20.0,3.0,95.0
34,Ensemble,2,BCE,1,True,False,0.8787878787878788,0.8877551020408163,0.87,0.8181818181818182,0.9529584422666837,0.5157207453214016,0.9915522366618971,0.5152998776009792,21.0,13.0,11.0,87.0
35,Ensemble,3,BCE,1,True,False,0.8944723618090452,0.9175257731958762,0.8725490196078431,0.8409090909090909,0.9587053050262166,0.5752135755885521,0.9925468254454938,0.5722222222222222,22.0,13.0,8.0,89.0
36,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,1,focal,1,True,False,0.8113207547169812,0.8775510204081632,0.7543859649122807,0.6992481203007519,0.8715018908729879,0.09759000729485331,0.9728979163120298,0.09090909090909094,7.0,28.0,12.0,86.0
37,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,2,focal,1,True,False,0.8703703703703703,0.9591836734693877,0.7966101694915254,0.7878787878787878,0.9293336920512166,0.3597368510636662,0.9867978371382845,0.3135215453194651,10.0,24.0,4.0,94.0
38,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,3,focal,1,True,False,0.8558558558558559,0.979381443298969,0.76,0.7575757575757576,0.886447950359192,0.24078209058882966,0.9755163461491344,0.1642263553620893,5.0,30.0,2.0,95.0
39,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,1,focal,1,True,False,0.8558951965065502,1.0,0.7480916030534351,0.7518796992481203,0.8371124554022856,0.20675611624097953,0.9570839763885041,0.08199121522693997,2.0,33.0,0.0,98.0
40,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,2,focal,1,True,False,0.8421052631578947,0.9795918367346939,0.7384615384615385,0.7272727272727273,0.7293060816464525,-0.07305833027953698,0.8844107013225532,-0.029462738301559765,0.0,34.0,2.0,96.0
41,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,3,focal,1,True,False,0.831858407079646,0.9690721649484536,0.7286821705426356,0.7121212121212122,0.8361030417856669,-0.09160389225355525,0.9616522815011129,-0.043695380774032566,0.0,35.0,3.0,94.0
42,FacebookAI/roberta-base,1,focal,1,True,False,0.8521739130434782,1.0,0.7424242424242424,0.7443609022556391,0.9208249510436307,0.14564381625088382,0.9851364240835128,0.041543026706231445,1.0,34.0,0.0,98.0
43,FacebookAI/roberta-base,2,focal,1,True,False,0.9238095238095239,0.9897959183673469,0.8660714285714286,0.8787878787878788,0.9576731174102693,0.669113336058375,0.9922309081011693,0.6338418862690707,19.0,15.0,1.0,97.0
44,FacebookAI/roberta-base,3,focal,1,True,False,0.8518518518518519,0.9484536082474226,0.773109243697479,0.7575757575757576,0.8384012407428623,0.26224633402186076,0.951342991226166,0.22152598599336537,8.0,27.0,5.0,92.0
45,dmis-lab/biobert-v1.1,1,focal,1,True,False,0.8110599078341014,0.8979591836734694,0.7394957983193278,0.6917293233082706,0.8776338409408305,0.017569715607659738,0.9760181147984706,0.015170670037926604,4.0,31.0,10.0,88.0
46,dmis-lab/biobert-v1.1,2,focal,1,True,False,0.9365853658536586,0.9795918367346939,0.897196261682243,0.9015151515151515,0.9500781321733094,0.732210189164055,0.9907428701872799,0.7181340341655716,23.0,11.0,2.0,96.0
47,dmis-lab/biobert-v1.1,3,focal,1,True,False,0.7941176470588235,0.8350515463917526,0.7570093457943925,0.6818181818181818,0.8032359733971706,0.10386340473664878,0.9527682230485707,0.1014586709886548,9.0,26.0,16.0,81.0
48,google-bert/bert-base-uncased,1,focal,1,True,False,0.8888888888888888,0.8979591836734694,0.88,0.8345864661654135,0.9265337979852084,0.5659302574320058,0.9844145692168257,0.5654885654885655,23.0,12.0,10.0,88.0
49,google-bert/bert-base-uncased,2,focal,1,True,False,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.8484848484848485,0.9655292463402398,0.6038415366146459,0.994053698133502,0.6038415366146459,24.0,10.0,10.0,88.0
50,google-bert/bert-base-uncased,3,focal,1,True,False,0.8773584905660378,0.9587628865979382,0.808695652173913,0.803030303030303,0.9527579352382236,0.43512330289247897,0.9897133210507465,0.3951357067324639,13.0,22.0,4.0,93.0
51,Ensemble,1,focal,0,True,False,0.8533333333333334,0.9795918367346939,0.7559055118110236,0.7518796992481203,0.9243663711535988,0.19917339492222447,0.984464558320033,0.1279554937413072,4.0,31.0,2.0,96.0
52,Ensemble,2,focal,0,True,False,0.92018779342723,1.0,0.8521739130434782,0.8712121212121212,0.9567397823586605,0.6527533657682196,0.9919410310559859,0.5975609756097561,17.0,17.0,0.0,98.0
53,Ensemble,3,focal,0,True,False,0.8623853211009175,0.9690721649484536,0.7768595041322314,0.7727272727272727,0.9400855448468067,0.3156556760523606,0.9878906775174082,0.25311203319502085,8.0,27.0,3.0,94.0
54,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,1,focal,2,True,False,0.8421052631578947,0.9795918367346939,0.7384615384615385,0.7293233082706767,0.7925285792439819,0.024209101306752096,0.9202584125897566,0.011560693641618491,1.0,34.0,2.0,96.0
55,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,2,focal,2,True,False,0.8411214953271028,0.9183673469387755,0.7758620689655172,0.7424242424242424,0.8003757599327657,0.20588678816504916,0.9434154524074734,0.18577648766328014,8.0,26.0,8.0,90.0
56,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,3,focal,2,True,False,0.847926267281106,0.9484536082474226,0.7666666666666667,0.75,0.8694367589131629,0.227944648734288,0.9397237634663924,0.18791946308724827,7.0,28.0,5.0,92.0
57,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,1,focal,2,True,False,0.8622222222222222,0.9897959183673469,0.7637795275590551,0.7669172932330827,0.8941037585662459,0.2814406667379259,0.9631095623976859,0.18080667593880384,5.0,30.0,1.0,97.0
58,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,2,focal,2,True,False,0.8454545454545455,0.9489795918367347,0.7622950819672131,0.7424242424242424,0.9359008441410253,0.15871485132294536,0.988353489018186,0.1248049921996881,5.0,29.0,5.0,93.0
59,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,3,focal,2,True,False,0.827906976744186,0.9175257731958762,0.7542372881355932,0.7196969696969697,0.8642882940573957,0.12752109467185987,0.9683486496889897,0.11005830903790093,6.0,29.0,8.0,89.0
60,FacebookAI/roberta-base,1,focal,2,True,False,0.8558558558558559,0.9693877551020408,0.7661290322580645,0.7593984962406015,0.930550433544773,0.24686980467612782,0.9866806895666551,0.18498659517426264,6.0,29.0,3.0,95.0
61,FacebookAI/roberta-base,2,focal,2,True,False,0.8878504672897196,0.9693877551020408,0.8189655172413793,0.8181818181818182,0.9587595807852409,0.47128772603405783,0.9928915539002635,0.42525399129172714,13.0,21.0,3.0,95.0
62,FacebookAI/roberta-base,3,focal,2,True,False,0.8952380952380953,0.9690721649484536,0.831858407079646,0.8333333333333334,0.9307357218154753,0.5359602975958521,0.9834635844913993,0.49913763366678165,16.0,19.0,3.0,94.0
63,dmis-lab/biobert-v1.1,1,focal,2,True,False,0.8584474885844748,0.9591836734693877,0.7768595041322314,0.7669172932330827,0.8878931881263233,0.28857287027043904,0.9613012358107417,0.2380336351875808,8.0,27.0,4.0,94.0
64,dmis-lab/biobert-v1.1,2,focal,2,True,False,0.8737864077669902,0.9183673469387755,0.8333333333333334,0.803030303030303,0.9369837793725007,0.4409963617950227,0.9883006094412722,0.43027888446215135,16.0,18.0,8.0,90.0
65,dmis-lab/biobert-v1.1,3,focal,2,True,False,0.8444444444444444,0.979381443298969,0.7421875,0.7348484848484849,0.8757328489541285,0.09405173583328905,0.9717935910977417,0.05094494658997528,2.0,33.0,2.0,95.0
66,google-bert/bert-base-uncased,1,focal,2,True,False,0.8990825688073395,1.0,0.8166666666666667,0.8345864661654135,0.9343024494900122,0.5507570547286101,0.9832169447763565,0.46547314578005117,13.0,22.0,0.0,98.0
67,google-bert/bert-base-uncased,2,focal,2,True,False,0.9082125603864735,0.9591836734693877,0.8623853211009175,0.8560606060606061,0.8856331164716079,0.5971880765659413,0.9623552019326347,0.5791946308724831,19.0,15.0,4.0,94.0
68,google-bert/bert-base-uncased,3,focal,2,True,False,0.8622222222222222,1.0,0.7578125,0.7651515151515151,0.9278814673877807,0.2942909153493238,0.9855177983368498,0.15940838126540668,4.0,31.0,0.0,97.0
69,Ensemble,1,focal,1,True,False,0.8711111111111111,1.0,0.7716535433070866,0.7819548872180451,0.934844289116867,0.3637079385536273,0.9873474391441681,0.23365785813630036,6.0,29.0,0.0,98.0
70,Ensemble,2,focal,1,True,False,0.897196261682243,0.9795918367346939,0.8275862068965517,0.8333333333333334,0.959010613162908,0.5243679136078595,0.9925752575782488,0.4731494920174165,14.0,20.0,2.0,96.0
71,Ensemble,3,focal,1,True,False,0.8558558558558559,0.979381443298969,0.76,0.7575757575757576,0.9338942365731258,0.24078209058882966,0.9866480297891904,0.1642263553620893,5.0,30.0,2.0,95.0
