Article ID,Title,Author,Secondary authors,Keywords,title of unpublished reference,primary date,publication year,notes,reprint status,start page number,ending page number,periodical full name,periodical standard abbreviation,periodical in which article was published,periodical name - user abbreviation 1,periodical name - user abbreviation 2,volume number,issue number,title secondary,city of publication,publisher,user definable 1,user definable 5,title series,Abstract,ISSN/ISBN,availability,Misc. 1,Misc. 2,address,Web/URL,link to PDF,link to full-text,related records,images,DOI,rated unclear,Comment: Island (Population); ,Unnamed: 39,Comment: Terrestrial Biodiversity (Population); ,Unnamed: 41,Comment: Monitoring&nbsp; (Outcome); ,Unnamed: 43,ensemble_score,ensemble_prediction,std_score,consensus_strength,positive_folds,Score_Rank
398.0,"Feeding ecology of the ancient and marbled murrelets near Langara Island, British Columbia
","Sealy, Spencer",,Marbled meat,,,1975.0,,,418,433,,,,,,53,4,"Canadian Journal of Zoology
",,"NRC Research Press
",,,,"Two field seasons (1970 and 1971) were spent studying the feeding ecology of the ancient murrelet (Synthliboramphus antiquus) and the marbled murrelet (Brachyramphus marmoratus) near Langara Island, Queen Charlotte Islands, British Columbia. The relatively offshore-feeding ancient murrelet nests in colonies, lays two-egg clutches, and has truly precocial young. The inshore-feeding marbled murrelet is apparently a solitary nester, has one-egg clutches, and semiprecocial young. The ancient murrelet feeds predominantly on two species of euphausiid crustaceans, Euphausia pacifica and Thysanöessa spinifera, during the early portion of the terrestrial phase of its breeding cycle (early April to late May), but takes a fish, Ammodytes hexapterus, toward the end of the cycle. It is believed that this change in diet as the season progresses reflects a change in prey availability. The apparent patchy distribution of the prey of the ancient murrelet, which requires more time to locate the food source, has probably promoted the evolution of the 72-h incubation shifts found in this species.During the terrestrial phase of the marbled murrelet's breeding cycle (early May to late August), the fish Ammodytes hexapterus and Cymatogaster aggregata are predominantly taken. During the very early part of its breeding season, Thysanöessa spinifera constitutes a considerable part of its diet.","0008-4301
",,,,,"https://doi.org/10.1139/z75-055
",,,,,10.1139/z75-055,No,,,,trait,,baseline,0.9809778332710266,1,0.02452188709964011,1.0,5,660.0
399.0,"A new insular species of the Cyrtodactylus intermedius (Squamata: Gekkonidae) group from Cambodia with a discussion of habitat preference and ecomorphology
","Grismer, L.; Chan, Kin; Oaks, Jamie; Neang, Thy; SOKUN, LANG; Murdoch, Matthew; Stuart, Bryan; Grismer, Jesse",,Gekkonidae; Ecomorphology; Gecko,,,2020.0,,,,,,,,,,4830,1,"Zootaxa
",,"Q15088586
",,,,"An integrative taxonomic analysis based on mitochondrial and morphological data recovered the population of Cyrtodactylus on Koh Rong Island, Preah Sihanouk Province, Cambodiaa as an endemic insular species belonging to the Cyrtodactylus intermedius group. This brings the number of species in the C. intermedius group to at least 10 and the number of species in Cambodia to at least seven. Species of this relatively small group vary widely in habitat preference, occurring in general, terrestrial, karstic, or granitic habitats. Ancestral character state mapping recovered a general habitat preference as the ancestral condition from which all others independently evolved even though this did not covary with morphology. The description of another new species of reptile from Cambodia continues to underscore the potentially significant amount of unrealized biodiversity in Indochina and Southeast Asia and the continued need for field surveys in unexplored or poorly explored areas.","1175-5326
",,,,,"https://doi.org/10.11646/zootaxa.4830.1.3
",,,,,10.11646/zootaxa.4830.1.3,No,,,,"com, trait",,baseline,0.9930151224136352,1,0.0052533268336513355,1.0,5,554.0
400.0,"An Updated Dose Assessment for Resettlement Options At Bikini Atoll-a U.S. Nuclear Test Site
","Robison, W.L.; Bogen, Kenneth; Conrado, C.L.",,Atoll; Nuclear test; radioactive contamination; Radiation monitoring,,,1997.0,,,100,114,,,,,,73,1,"Health Physics
",,"Lippincott Williams & Wilkins
",,,,"On 1 March 1954, a nuclear weapon test, codenamed BRAVO, conducted at Bikini Atoll in the northern Marshall Islands contaminated the major residence island. There has been a continuing effort since 1977 to refine dose assessments for resettlement options at Bikini Atoll. Here we provide a radiological dose assessment for the main residence island, Bikini, using extensive radionuclide concentration data derived from analysis of food crops, ground water, cistern water, fish and other marine species, animals, air, and soil collected at Bikini Island as part of our continuing research and monitoring program that began in 1978. The unique composition of coral soil greatly alters the relative contribution of 137Cs and 90Sr to the total estimated dose relative to expectations based on North American and European soils. Without counter measures, 137Cs produces 96% of the estimated dose for returning residents, mostly through uptake from the soil to terrestrial food crops but also from external gamma exposure. The doses are calculated assuming a resettlement date of 1999. The estimated maximum annual effective dose for current island conditions is 4.0 mSv when imported foods, which are now an established part of the diet, are available. The 30-, 50-, and 70-y integral effective doses are 91 mSv, 130 mSv, and 150 mSv, respectively. A detailed uncertainty analysis for these dose estimates is presented in a companion paper in this issue. We have evaluated various countermeasures to reduce 137Cs in food crops. Treatment with potassium reduces the uptake of 137Cs into food crops, and therefore the ingestion dose, to about 5% of pretreatment levels and has essentially no negative environmental consequences. We have calculated the dose for the rehabilitation scenario where the top 40 cm of soil is removed in the housing and village area, and the rest of the island is treated with potassium fertilizer; the maximum annual effective dose is 0.41 mSv and the 30-, 50-, and 70-y integral effective doses are 9.8 mSv, 14 mSv, and 16 mSv, respectively.","0017-9078
",,,,,"https://doi.org/10.1097/00004032-199707000-00008
",,,,,10.1097/00004032-199707000-00008,No,,"ecosystem disturbance; understanding impacts of nuclear testing in regard to resettlement in damaged areas; still interesting to see the impacts of this disturbance on wildlife; mentions marine species and ""animals"" - assuming terrestrial",,fun,,baseline,0.9944229841232299,1,0.0027225215040844893,1.0,5,495.0
401.0,"DISTRIBUTION, HABITAT USE, AND ABUNDANCE PATTERNS OF LANDBIRD COMMUNITIES ON THE JUAN FERNÁNDEZ ISLANDS, CHILE
","Hahn, Ingo; Römer, Uwe; Schlatter, Roberto; Kilian, Ernst",,Endemism,,,2005.0,,,,,,,,,,,,,,,,,,"The entire surface area of the Juan Fernández Islands (~ 95 km²) (Chile) was mapped accord- ing to bird habitats. Twelve principal habitat types were described. Comparisons of an avifaunal recon- struction with our recent findings show that the number of regularly breeding terrestrial bird species increased from 7 to 11 since the discovery of the islands in 1574 until today. Six out of the seven native landbird species are endemic, each being restricted to a single island. Distribution and abundance patterns are given for all landbird species and habitat types. Endemics generally show preference for habitat types dominated by native plants. Although non endemic birds have invaded such habitats also, they prefer hab- itats with introduced plants. Non endemic species were found in a broader range of habitat types than",,,,,,,,,,,,No,,,,"struct, pop, com",,baseline,0.9961967825889587,1,0.0009375753175179945,1.0,5,206.0
402.0,"Habitat Suitability Modeling for the Newell's Shearwater on Kauai
","Troy, Jeff; Holmes, Nick; Veech, Joseph; Raine, André; Green, M.",,Shearwater; Critical habitat,,,2014.0,,,315,329,,,,,,5,2,"Journal of Fish and Wildlife Management
",,,,,,"Abstract The Newell's shearwater, or ‘A’o Puffinus newelli, is endemic to the main islands of the Hawaiian Archipelago and is listed as endangered on the International Union for Conservation of Nature Red List and as threatened under the U.S. Endangered Species Act. Using abiotic and biotic environmental variables, we developed a terrestrial habitat suitability model for this species on Kauai to predict habitat that could be suitable in the absence of anthropogenic threats. In addition, we developed a habitat/threat-isolation index incorporating information from our suitability model to identify regions of structurally suitable habitat with less exposure to certain anthropogenic threats (relative to other portions of the island). The habitat suitability model suggests that slope, density of rock fragments within the soil, and native vegetation cover are important factors associated with the current known distribution of the Newell's shearwater on Kauai, and that a moderate portion of the sloped interior terrain of Kauai could potentially be suitable nesting habitat for this species. The habitat/threat-isolation index identified the mountains on the north-central portion of the island as structurally suitable habitat most isolated from a combination of major anthropogenic disturbances (relative to other portions of the island). Much of this region, however, is privately owned and not designated as an official reserve, which could indicate a need for increased conservation action in this region in the future. This information is important for conservation biologists and private landowners because expanding efforts to control nonnative predators, as well as management of additional lands as reserves, may be necessary for the protection and preservation of the Newell's shearwater.
","1944-687X
",,,,,"https://doi.org/10.3996/112013-jfwm-074
",,,,,10.3996/112013-jfwm-074,No,,,,,,,0.9948557257652283,1,0.0029832082806023315,1.0,5,461.0
403.0,"Absence of mammals and the evolution of New Zealand grasses
","Antonelli, Alexandre; Humphreys, Aelys; Lee, William; Linder, H.",,Mammal; Extinction (optical mineralogy),,,2010.0,,,695,701,,,,,,278,1706,"Proceedings of the Royal Society B Biological Sciences
",,"Royal Society
",,,,"Anthropogenic alteration of biotic distributions and disturbance regimes has dramatically changed the evolutionary context for the differentiation of species traits. Some of the most striking examples in recent centuries have been on islands where flightless birds, which evolved in the absence of mammalian carnivores, have been decimated following the widespread introduction of exotic predators. Until now, no equivalent case has been reported for plants. Here, we make use of robust analytical tools and an exceptionally well-sampled molecular phylogeny to show that a majority of New Zealand danthonioid grasses (Poaceae) may have adapted to the relaxed vertebrate herbivore pressure during the late Cenozoic through the development of a distinctive and unusual habit: abscission of old leaves. This feature occurs in only about 3 per cent of the world's roughly 11 000 grass species and has been empirically shown to increase plant productivity but to reduce protection against mammal grazing. This result suggests that release from a selective pressure can lead to species radiations. This seemingly anachronistic adaptation may represent an overlooked factor contributing to the severe decline in the geographical extent and species diversity of New Zealand's indigenous grasslands following the introduction of herbivorous terrestrial mammals in the 19th century.
","0962-8452
",,,,,"https://doi.org/10.1098/rspb.2010.1145
",,,,,10.1098/rspb.2010.1145,No,,,,trait,,"paleo, theory",0.9964223861694336,1,0.001207893790110127,1.0,5,117.0
404.0,"The other side of the Sahulian coin: biogeography and evolution of Melanesian forest dragons (Agamidae)
","Tallowin, Oliver; Meiri, Shai; Donnellan, Stephen; Richards, Stephen; Austin, Christopher; Oliver, Paul",,Vicariance; Agamidae; Lineage (genetic); Aridification,,,2019.0,,,99,113,,,,,,129,1,"Biological Journal of the Linnean Society
",,"Oxford University Press
",,,,"Abstract New Guinea has been considered both as a refuge for mesic rainforest-associated lineages that contracted in response to the late Cenozoic aridification of Australia and as a centre of biotic diversification and radiation since the mid-Miocene or earlier. Here, we estimate the diversity and a phylogeny for the Australo-Papuan forest dragons (Sauria: Agamidae; ~20 species) in order to examine the following: (1) whether New Guinea and/or proto-Papuan Islands may have been a biogeographical refuge or a source for diversity in Australia; (2) whether mesic rainforest environments are ancestral to the entire radiation, as may be predicted by the New Guinea refuge hypothesis; and (3) more broadly, how agamid ecological diversity varies across the contrasting environments of Australia and New Guinea. Patterns of lineage distribution and diversity suggest that extinction in Australia, and colonization and radiation on proto-Papuan islands, have both shaped the extant diversity and distribution of forest dragons since the mid-Miocene. The ancestral biome for all Australo-Papuan agamids is ambiguous. Both rainforest and arid-adapted radiations probably started in the early Miocene. However, despite deep-lineage diversity in New Guinea rainforest habitats, overall species and ecological diversity is low when compared with more arid areas, with terrestrial taxa being strikingly absent.
","0024-4066
",,,,,"https://doi.org/10.1093/biolinnean/blz125
",,,,,10.1093/biolinnean/blz125,No,,,,com,,"theory, baseline",0.9961535811424256,1,0.0013851555367144855,1.0,5,220.0
407.0,"Early Eocene rodents (Mammalia) from the Eureka Sound Group of Ellesmere Island, Canada
","Dawson, Mary",,Holarctic; Paleogene,,,2001.0,,,1107,1116,,,,,,38,7,"Canadian Journal of Earth Sciences
",,"NRC Research Press
",,,,"Rodents are a minor element in the Early Eocene terrestrial fauna from the Eureka Sound Group of Ellesmere Island. Nevertheless, at least five taxa can be recognized, all members of the family Ischyromyidae. Two are paramyines, of which one is described as Paramys hunti, sp. nov. Three of the rodents are microparamyines, Microparamys bayi, sp. nov., and two species of the new genus Strathcona, S. minor, sp. nov., and S. major, sp. nov. The paramyines are Holarctic in distribution in the Early Eocene, but the microparamyines are known only from North America and Europe. The Arctic Microparamyinae provide the first clearly documented case for an early Cenozoic mammalian taxon having a North American origin and later dispersal into Europe across a North Atlantic terrestrial biogeographic province","0008-4077
",,,,,"https://doi.org/10.1139/e01-010
",,,,,10.1139/e01-010,No,,,,"com, pop",,baseline,0.981248390674591,1,0.028747975189965292,1.0,5,659.0
409.0,"Assessment of contamination by heavy metals and petroleum hydrocarbons at Atlas Cove Station, Heard Island
","Stark, Scott; Gardner, David; Snape, Ian; McIvor, Ewan",,Cove; Dredging,,,2003.0,,,397,414,,,,,,39,4,"Polar Record
",,"Cambridge University Press
",,,,"Located on the northwest coast of Heard Island, a World Heritage-listed sub-Antarctic territory of Australia, Atlas Cove served as the site of the first permanently occupied Australian National Antarctic Research Expedition (ANARE) station (1947–55). Subsequent to its closure, Atlas Cove Station was abandoned and left largely to the mercy of the natural elements, although it has been visited and occupied on an infrequent basis by ANARE. All activities on the island are now subject to the provisions of the Heard Island Wilderness Reserve Management Plan. During 2000–2001 a major clean-up of the site was undertaken, with most of the remaining structures demolished and material collected for return to Australia and disposal. To assess the extent and intensity of contamination within the station area, soil and water samples were collected and analysed for petroleum hydrocarbons and heavy metals. Assessment of site contamination was made with reference to specific background control limits calculated for Atlas Cove Station, and comparison was also made with Australian and New Zealand guidelines for the protection of aquatic and terrestrial ecosystems. Contamination by heavy metals is evident throughout the station but not at levels of sufficient magnitude to infer a significant potential toxic impact on local ecosystems. Hence remedial action to reduce the concentration and mobility of heavy metals in soil and water is not a high priority, although monitoring of changes at the site through time is recommended. Contamination by petroleum hydrocarbons is at a level that may cause a significant toxic impact on the environment and requires further investigation to assess impacts and possibly to undertake remedial action. Given the large quantity of petroleum-contaminated soil present, remediation processes that can be carried out in situ are likely to be the preferable clean-up options. The benefits of remediation, however, must be balanced against any negative effect this might exert on the plant and animal wildlife that have recolonised this historically important site.","0032-2474
",,,,,"https://doi.org/10.1017/s0032247403003206
",,,,,10.1017/s0032247403003206,No,,includes terrestrial; disturbance - heavy metal contamination,,fun,,baseline,0.9956137180328369,1,0.0017231101533922034,1.0,5,362.0
410.0,"Cold-Hardiness in the Antarctic Tick, Ixodes uriae
","Lee, Richard; Baust, John",,Supercooling,,,1987.0,,,499,506,,,,,,60,4,"Physiological Zoology
",,"University of Chicago Press
",,,,"Ixodes uriae White (Ixodidae, Acarina) is the predominant tick on the Antarctic peninsula. This species has a circumpolar distribution in both hemispheres and is associated with or known to parasitize 48 species of seabirds. Large colonies of 1,000 or more individuals of all life stages were found beneath rocks on the periphery of Adélie penguin rookeries near Palmer Station, Anvers Island. All life stages (egg, larva, nymph, and adult) were intolerant of freezing. Engorged nymphs and larvae had supercooling points between -18 and -20 C. Eggs had the lowest supercooling points (-28.7 C), while adults had the highest values (from -7 to -13 C). Acclimation to temperatures between -12 and +25 C for 2 wk had no effect on the supercooling point of engorged immobile nymphs. Desiccation of engorged nymphs to 80% of their initial weight resulted in no change in supercooling points or glycerol levels. In January, engorged nymphs enter a state of apolysis and lose mobility. Correlated with this change is an increase in cold tolerance as evidenced by a decrease in supercooling points from -11.5 to -19.5 C. This species exhibits the greatest range of thermal tolerance, from -30 to 40 C, reported for any Antarctic terrestrial arthropod. Except for a short period associated with feeding, I. uriae remains in a permanent state of cold-hardiness throughout the year.
","0031-935X
",,,,,"https://doi.org/10.1086/physzool.60.4.30157912
",,,,,10.1086/physzool.60.4.30157912,No,,,,trait,,baseline,0.9926076292991638,1,0.004997812108706068,1.0,5,569.0
411.0,"The role of olive groves in the conservation of Mediterranean orchids
","Fekete, Réka; Vincze, Orsolya; Süveges, Kristóf; Bak, Henrietta; Malkócs, Tamás; Löki, Viktor; Urgyán, Renáta; V., Attila",,Olive trees; Mediterranean Basin,,,2023.0,,,"e02490
","e02490
",,,,,,44,,"Global Ecology and Conservation
",,"Elsevier BV
",,,,"Olive and olive oil production is one of the main agricultural activities in the Mediterranean region. Besides their economic importance, traditional and organic olive groves were also hypothesized to contribute to biodiversity conservation. For instance, the presence of terrestrial orchids in olive groves has long been known. It is, however, not well understood what ecological or biological traits of olive groves influence the species richness and abundance of these protected flora elements in these secondary habitats. We surveyed 273 olive groves across the mainland of three countries (France, Greece, Italy) and three islands under their administration (Corsica, Lesbos, Sardinia). The surveyed olive groves provided habitat to more than 60,000 orchid individuals belonging to 45 species. Our results indicate that olive groves located on islands had a significantly greater potential for orchid conservation, as they harbored more species and individuals than olive groves on the mainland. Furthermore, orchid presence and species richness was highest in olive groves located on islands with high diversity of pasture weeds or native woody species, while these results also highlight the more traditional use of island groves and a difference in the intensity of maintenance between island and mainland groves. Overall, our study suggests that Mediterranean olive groves contribute significantly to the conservation of diverse terrestrial orchid communities and highlights the importance of traditional management practices in olive groves that allow local biodiversity to flourish.
","2351-9894
",,,,,"https://doi.org/10.1016/j.gecco.2023.e02490
",,,,,10.1016/j.gecco.2023.e02490,No,,includes islands,,"com, trait",,"theory, baseline",0.9953701019287109,1,0.0013266872130874518,1.0,5,400.0
412.0,"Landscape features and sea ice influence nesting common eider abundance and dispersion
","Chaulk, Keith; Robertson, Gregory; Montevecchi, William",,Eider,,,2007.0,,,301,309,,,,,,85,3,"Canadian Journal of Zoology
",,"NRC Research Press
",,,,"Factors that influence individual and colony spacing are still not well understood in many organisms. Common eiders (Somateria mollissima (L. 1758)) nest on coastal islands and forage in intertidal and shallow subtidal waters. We considered several biotic and abiotic factors, their interactions, and how these might influence the distribution of eider colonies at several spatial scales in Labrador, Canada. At the island level, nest abundance was not related to intertidal prey density. At the 104 km2 grid scale, eider nest abundance and the coefficient of dispersion (CD; the variance to mean ratio of colony size or grid cell, where CD indicates population dispersion) were negatively related to the number of islands. Spring ice cover was positively related to the number of islands but was negatively related to eider nest abundance and to CD. Ice cover – abundance and ice cover – CD were significant at two spatial scales (104 and 455 km2, respectively), but other relationships were weaker at the larger spatial scale. We hypothesize that during the spring, archipelagos with many islands trap ice, providing terrestrial predators access to nesting islands by acting as bridges and that increased predation reduces habitat quality causing nesting eiders to disperse. Our findings suggest that eiders respond to landscape features, including ice cover, a feature that is being influenced by climate change.","0008-4301
",,,,,"https://doi.org/10.1139/z07-006
",,,,,10.1139/z07-006,No,,,,"pop, struct",,"theory, baseline",0.6019620694220066,1,0.47722604060745777,0.6,3,844.0
413.0,"Bioclimatic modeling for the prediction of the suitable regional geographical distribution of selected bright-spored myxomycetes in the Philippine archipelago
","LIMBO-DIZON, JAMES; Almadrones-Reyes, Joshua; MACABAGO, SITTIE; Dagamac, Nikki",,Archipelago; Environmental niche modelling,,,2022.0,,,,,,,,,,23,5,"Biodiversitas Journal of Biological Diversity
",,"MBI & UNS Solo
",,,,"Abstract. Limbo-Dizon JE, Almadrones-Reyes KJ, Macabago SAB, Dagamac NHA. 2022. Bioclimatic modeling for the prediction of the suitable regional geographical distribution of selected bright-spored myxomycetes in the Philippine archipelago. Biodiversitas 23: 2285-2294. Myxomycetes communities in the Philippines have been well studied in terms of diversity patterns projected by their enigmatic fructifications. To predict potential suitable geographical distributions of three different bright-spored myxomycetes with known variations in its occurrences, namely, Arcyria cinerea, Perichaena depressa, and Hemitrichia serpula, species distribution modeling was utilized. Three different modeling approaches employing MaxEnt were performed in this study and have calculated high model performances based on the AUC values generated (0.778-0.873). In all of the modeling approaches, the three myxomycetes species were predicted to have an expansion of their localized fundamental niches pointing to the influence of isothermality (BIO3) as an important macroclimatic predictor for modeling approaches 1 and 2. Highly suitable habitats for the three bright-spored species were discovered primarily in terrestrial landscapes on the regions of Luzon Island, as well as in small parts of the Visayas and Mindanao Islands. The predicted models in this study do not tell missing geographical information but rather may use as tools for the exploration of potentialities, such as understanding the possible distribution patterns of the three bright-spored myxomycetes species in the Philippines. This can serve as a useful baseline to enhance the conservation efforts for most habitats in the country that are directly affecting microbial communities due to rampant habitat loss and rapid urbanization.
","1412-033X
",,,,,"https://doi.org/10.13057/biodiv/d230506
",,,,,10.13057/biodiv/d230506,No,,,,pop,,baseline,0.9956055641174316,1,0.0015831895598425632,1.0,5,363.0
415.0,"Impacts of a volcanic eruption on the forest bird community of Montserrat, Lesser Antilles
","Dalsgaard, Bo; Hilton, Geoff; Gray, G.A.; Aymer, L.; Boatswain, James; Daley, James; Fenton, Calvin; Martin, José; Martin, Lloyd; Murrain, P.; Arendt, Wayne; Gibbons, David; Olesen, Jens",,,,,2007.0,,,298,312,,,,,,149,2,"Ibis
",,"Wiley
",,,,"Volcanic eruptions are an important and natural source of catastrophic disturbance to ecological communities. However, opportunities to study them are relatively rare. Here we report on the effects of the eruption of the Soufrière Hills volcano on the forest bird community of the Lesser Antillean island of Montserrat. The island's species-poor avifauna includes 11 restricted-range species, including the Critically Endangered endemic Montserrat Oriole Icterus oberi. Analysis of monitoring data from 1997 to 2005 indicates that counts of most species were substantially lower following major ashfalls. However, this effect was short-lived, with rapid population recovery in subsequent years. Furthermore, levels of seasonal rainfall appear to have been at least as important in determining population trends as ashfall. Overall, most species were at least as abundant at the end of the study as at the start, and no forest bird species have been extirpated from Montserrat. We discuss potential ecological drivers of ashfall impacts on populations: there is some evidence that terrestrial foragers were most severely affected.","0019-1019
",,,,,"https://doi.org/10.1111/j.1474-919x.2006.00631.x
",,,,,10.1111/j.1474-919x.2006.00631.x,No,,,,"pop, fun",,rep,0.9965540289878845,1,0.0009153850952172142,1.0,5,69.0
416.0,"Non-native Mammals Are the Main Seed Dispersers of the Ancient Mediterranean Palm Chamaerops humilis L. in the Balearic Islands: Rescuers of a Lost Seed Dispersal Service?
","Muñoz‐Gallego, Raquel; Fedriani, José; Traveset, Anna",,Balearic islands,,,2019.0,,,,,,,,,,7,,"Frontiers in Ecology and Evolution
",,"Frontiers Media
",,,,"Megafauna extinctions often lead to the disruption of plant-animal interactions, such as the seed-disperser mutualisms, which might entail severe consequences for plant populations and entire communities. Interestingly, the contemporary persistence of anachronistic plant species might be possible thanks to surrogate dispersers or seed dispersal ""rescuers"". We know very little on how these relevant functional replacements are contributing to the performance of present-day plant-frugivore networks. The dwarf palm Chamaerops humilis L. is a Mediterranean endemism with fleshy fruits and typically dispersed by mammals. Despite its ecological importance and wide distribution in some of the Mediterranean islands, no information exists about its seed dispersal on these depauperated-fauna systems. In this study, we aim at identifying and quantifying the relative importance of introduced frugivores on the island of Mallorca (Balearic Islands), where no native terrestrial mammals exist. Specifically, we assess for the first time the seed dispersal effectiveness (SDE) for C. humilis on islands; we evaluate the quantitative component by fecal and regurgitation sampling surveys, and the qualitative component by means of seed germination experiments and seedling growth measures. Introduced goats (Capra hircus L.) and pine martens (Martes martes L.) were the local mammal fruit consumers of C. humilis identified in our study sites. Results suggest that goats are much more important quantitatively than pine martens, due to the high number of fruits handled in each foraging bout and their extremely high abundance on the island. However, pine marten-ingested seeds showed the highest final seedling emergence success and seedling growth, thus its qualitative contribution on C. humilis seed dispersal is higher than that of goats. Overall, SDE was almost 9-fold higher for goats than for pine martens. We conclude that these two non-native mammal species are effective seed dispersers of C. humilis in this and probably other Mediterranean islands, where humans led to the extinction of its native seed dispersers, as it was probably the case of the goat-like Myotragus balearicus in the Balearic Islands.
","2296-701X
",,,,,"https://doi.org/10.3389/fevo.2019.00161
",,,,,10.3389/fevo.2019.00161,No,,,,trait,,"baseline, theory",0.9965408205986023,1,0.0007051653424011226,1.0,5,74.0
417.0,"A chromosomal-level genome assembly for the giant African snail <i>Achatina fulica</i>
","Guo, Yun-Hai; Zhang, Yi; Liu, Qin; Huang, Yun; Mao, Guang-Yao; Yue, Zhi-Yuan; Abe, Eniola; Li, Jian; Wu, Zhongdao; Li, Shi‐Zhu; Zhou, Xiao‐Nong; Hu, Wei; Xiao, Ning",,Biomphalaria glabrata; Achatina; Genome size; Comparative Genomics,,,2019.0,,,,,,,,,,8,10,"GigaScience
",,"University of Oxford
",,,,"Abstract Background Achatina fulica, the giant African snail, is the largest terrestrial mollusk species. Owing to its voracious appetite, wide environmental adaptability, high growth rate, and reproductive capacity, it has become an invasive species across the world, mainly in Southeast Asia, Japan, the western Pacific islands, and China. This pest can damage agricultural crops and is an intermediate host of many parasites that can threaten human health. However, genomic information of A. fulica remains limited, hindering genetic and genomic studies for invasion control and management of the species. Findings Using a k-mer–based method, we estimated the A. fulica genome size to be 2.12 Gb, with a high repeat content up to 71%. Roughly 101.6 Gb genomic long-read data of A. fulica were generated from the Pacific Biosciences sequencing platform and assembled to produce a first A. fulica genome of 1.85 Gb with a contig N50 length of 726 kb. Using contact information from the Hi-C sequencing data, we successfully anchored 99.32% contig sequences into 31 chromosomes, leading to the final contig and scaffold N50 length of 721 kb and 59.6 Mb, respectively. The continuity, completeness, and accuracy were evaluated by genome comparison with other mollusk genomes, BUSCO assessment, and genomic read mapping. A total of 23,726 protein-coding genes were predicted from the assembled genome, among which 96.34% of the genes were functionally annotated. The phylogenetic analysis using whole-genome protein-coding genes revealed that A. fulica separated from a common ancestor with Biomphalaria glabrata ~182 million years ago. Conclusion To our knowledge, the A. fulica genome is the first terrestrial mollusk genome published to date. The chromosome sequence of A. fulica will provide the research community with a valuable resource for population genetics and environmental adaptation studies for the species, as well as investigations of the chromosome-level of evolution within mollusks.
","2047-217X
",,,,,"https://doi.org/10.1093/gigascience/giz124
",,,,,"10.1093/gigascience/giz124
",No,,,,gen,,,0.2197677102871239,0,0.3867314004308101,0.8,1,933.0
419.0,"Atlas of the vascular flora of the Iberian Peninsula biodiversity hotspot (AFLIBER)
","Ramos‐Gutiérrez, Ignacio; Lima, Herlander; Pajarón, Santiago; Romero‐Zarco, Carlos; Sáez, Llorenç; Pataro, Luciano; Molina‐Venegas, Rafael; Rodrı́guez, Miguel; Sáiz, Juan",,Vascular plant; Floristics; Georeference; Subspecies; Biodiversity hotspot; Archipelago; Peninsula; Balearic islands; Flora,,,2021.0,,,1951,1957,,,,,,30,10,"Global Ecology and Biogeography
",,"Wiley
",,,,"Abstract Motivation We accessed published and unpublished floristic sources to compile a comprehensive species list of the Iberian–Balearic terrestrial vascular flora and generate AFLIBER, an accurate floristic database of georeferenced plant occurrence records. Main type of variable contained Species distribution data totalling 1,824,549 plant occurrence records corresponding to 6,456 species and subspecies. Spatial location and grain The western Mediterranean, including inland territories of Spain, Portugal and Andorra and the adjacent archipelagos of Berlengas, Columbretes and the Balearic Islands, covered by 6,316 UTM quadrangular grid cells of 10 km resolution. Time period All distributional trustable records were considered to create the AFLIBER database, most of them dating from the 1960s onwards. Major taxa and level of measurement Terrestrial vascular plant species and subspecies. Software format Data are supplied as comma‐separated text (csv) files.
","1466-822X
",,,,,"https://doi.org/10.1111/geb.13363
",,,,,10.1111/geb.13363,No,,,,"pop, com",,"baseline, review",0.9890893936157227,1,0.013189979897137384,1.0,5,629.0
421.0,"The Biogeography of Islands: Preliminary Results from a Comparative Study of the Isles of Scilly and Cornwall
","Kendall, MA; Widdicombe, Stephen; Davey, J.J.; Somerfield, Paul; Austen, Melanie; Warwick, Richard",,Mainland; Insular biogeography; Land bridge; Extinction (optical mineralogy),,,1996.0,,,219,222,,,,,,76,1,"Journal of the Marine Biological Association of the United Kingdom
",,"Cambridge University Press
",,,,"Studies of the interplay of immigration, emigration and extinction in shaping the fauna of islands (McArthur & Wilson, 1967) have influenced the terrestrial ecologists view of the creation and maintenance of diversity. Although in the deep ocean, hydrothermal vents have been the subject of a number of biogeographic studies (Tunnicliffe, 1991), there have been few attempts to validate theories of island biogeography in the shallow marine environment. To rectify this situation, a study comparing the fauna of the mainland of Cornwall, with that of the Isles of Scilly, which lie 45 km from the mainland and were separated from it ~0·3 my BP has been undertaken.

Evidence for some comparative impoverishment of the Isles of Scilly fauna was provided by Crisp & Southward (1958) who noted that a small number of cirripedes and molluscs with planktonic larvae, living close to their geographic limits of distribution in Cornwall, were unable to bridge the gap to the islands. They suggested that although species with long-lived planktonic larvae can be widely dispersed, excessive dispersal can lead to their loss from the fauna of small islands. This is clearly demonstrated on the remote island of Rockall where both Crisp (1956) and Moore (1977) noted that only animals with direct development occur. On the Island of Lundy, four species of gastropod were estimated to be less abundant than on the mainland which lies only 18 km away (Hawkins & Hiscock, 1983). However, such studies only deal with a small number of conspicuous intertidal species, and there is a requirement to expand observations to the community level. The present study attempts to question the following hypotheses: (1) α - diversity (that of single samples) is lower on the islands than the mainland; (2) the diversity of species with planktotrophic larvae is lower on the islands than on the mainland.","0025-3154
",,,,,"https://doi.org/10.1017/s0025315400029155
",,,,,"10.1017/s0025315400029155
",No,,,,"pop, com",,,0.3452522431500256,0,0.4138640742080043,0.6,2,913.0
